2021-01-10 20:15:34.546 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 3 was attended by Cashier 2
2021-01-10 20:15:34.549 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 1 was attended by Cashier 0
2021-01-10 20:15:34.551 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 2 was attended by Cashier 1
2021-01-10 20:15:34.551 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 4 was attended by Cashier 2
2021-01-10 20:15:34.552 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 6 was attended by Cashier 1
2021-01-10 20:15:34.553 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 5 was attended by Cashier 0
2021-01-10 20:15:34.553 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 7 was attended by Cashier 2
2021-01-10 20:15:34.554 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 9 was attended by Cashier 0
2021-01-10 20:15:34.554 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 8 was attended by Cashier 1
2021-01-10 20:15:34.555 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 11 was attended by Cashier 0
2021-01-10 20:15:34.555 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 10 was attended by Cashier 2
2021-01-10 20:15:34.555 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 12 was attended by Cashier 1
2021-01-10 20:15:34.556 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 14 was attended by Cashier 2
2021-01-10 20:15:34.556 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 16 was attended by Cashier 2
2021-01-10 20:15:34.557 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 13 was attended by Cashier 0
2021-01-10 20:15:34.557 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 18 was attended by Cashier 0
2021-01-10 20:15:34.558 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 15 was attended by Cashier 1
